2023-12-06 06:47:26,X,Bot,Human,single,5,"0,0"
2023-12-06 06:48:35,X,Bot,Human,single,5,"1,0"
2023-12-06 06:49:11,O,Human,Human,two,6,"2,0"
2023-12-06 06:51:27,O,Human,Human,two,6,"0,2"
2023-12-06 06:51:47,X,Bot,Human,single,7,"2,1"
2023-12-06 06:54:14,O,Human,Human,two,6,"0,2"
2023-12-06 06:54:47,X,Bot,Human,simgle,5,"1,1"
2023-12-06 06:55:12,X,Bot,Human,single,7,"2,0"
2023-12-06 06:55:38,O,Human,Bot,single,8,"0,1"
2023-12-06 06:56:14,X,Human,Human,two,7,"1,1"
2023-12-06 06:56:30,X,Bot,Human,single,5,"0,0"
2023-12-06 06:57:20,X,Bot,Human,single,9,"2,1"
2023-12-06 06:57:45,X,Bot,Human,single,7,"0,0"
2023-12-06 06:58:13,X,Bot,Human,single,7,"2,0"
2023-12-06 06:59:10,X,Human,Human,two,7,"1,0"
2023-12-06 07:01:24,X,Bot,Human,single,7,"1,1"
2023-12-06 07:03:56,X,Bot,Human,single,7,"2,1"
2023-12-06 07:04:25,X,Human,Human,two,7,"0,0"
2023-12-06 07:04:54,X,Human,Human,two,7,"2,0"
2023-12-06 07:05:17,X,Bot,Human,simgle,7,"0,2"
2023-12-06 07:05:47,X,Bot,Human,single,7,"0,2"
2023-12-06 07:06:15,O,Human,Bot,single,8,"1,0"
2023-12-06 07:06:25,O,Human,Bot,single,8,"0,2"
2023-12-06 07:06:59,X,Bot,Human,single,9,"0,2"
2023-12-06 07:07:08,X,Bot,Human,single,5,"0,0"
2023-12-06 07:07:17,X,Bot,Human,single,5,"2,0"
2023-12-06 07:07:41,X,Bot,Human,single,5,"0,0"
2023-12-06 07:08:19,O,Human,Human,two,6,"2,1"
2023-12-06 07:08:41,O,Human,Human,two,8,"0,0"
2023-12-06 07:08:57,O,Human,Human,two,6,"0,2"
2023-12-06 07:09:28,O,Human,Bot,single,8,"0,1"
